prenom,fete,origine,signification
Celeste,14 octobre,Latin,"Céleste, du ciel"
Celine,21 octobre,Latin,
Céline,21 octobre,Latin,Ciel
Cesar,15 avril,Latin,Chevelu ou incision
César,15 avril,Latin,Chevelu ou incision
Charles,4 novembre,Germanique,"Homme libre, vigoureux"
Charlotte,17 juillet,Germanique,"Femme libre, vigoureuse"
Chloe,13 juillet,Grec,Jeune pousse verdoyante
Chloé,13 juillet,Grec,Jeune pousse verdoyante
Christelle,24 juillet,Grec,Disciple du Christ
Christian,12 novembre,Latin,Disciple du Christ
Christiane,15 décembre,Grec,Disciple du Christ
Christine,24 juillet,Grec,Disciple du Christ
Christophe,25 juillet,Grec,Qui porte le Christ
Clara,11 août,Latin,"Claire, brillante"
Claude,15 février,Latin,Boiteux
Claudine,15 février,Latin,Boiteuse
Clemence,21 mars,Latin,"Douceur, clémence"
Clémence,21 mars,Latin,"Douceur, clémence"
Clement,23 novembre,Latin,"Doux, clément"
Clément,23 novembre,Latin,"Doux, clément"
Colette,6 mars,Grec,Victoire du peuple
Constance,8 avril,Latin,"Constante, ferme"
Corentin,12 décembre,Breton,"Ami, parent"
Corinne,18 mai,Grec,Jeune fille
Cyril,18 mars,Grec,"Seigneur, maître"
Damien,26 septembre,Grec,Celui qui dompte
Daniel,11 décembre,Hébraïque,Dieu est mon juge
Danielle,11 décembre,Hébraïque,Dieu est mon juge
David,29 décembre,Hébraïque,Bien-aimé
Delphine,26 novembre,Grec,"Dauphin, de Delphes"
Denis,9 octobre,Grec,Consacré à Dionysos
Denise,15 mai,Grec,Consacrée à Dionysos
Diane,9 juin,Latin,"Divine, lumineuse"
Didier,23 mai,Latin,Désiré
Dominique,8 août,Latin,Qui appartient au Seigneur
Dylan,3 septembre,Celte / Anglo-Saxon,Fils de la mer
Eden,26 mai,Hébraïque,"Délice, paradis"
Edmond,20 novembre,Anglo-Saxon,Protecteur de la richesse
Edouard,5 janvier,Anglo-Saxon,Gardien de la richesse
Édouard,5 janvier,Anglo-Saxon,Gardien de la richesse
Elena,18 août,Grec,Éclat du soleil
Eleonore,25 juin,Grec,Compassion
Elisabeth,17 novembre,Hébraïque,Dieu est serment
Elise,17 novembre,Hébraïque,Dieu est serment
Elodie,22 octobre,Germanique,"Richesse, prospérité"
Élodie,22 octobre,Germanique,"Richesse, prospérité"
Elsa,17 novembre,Hébraïque,Dieu est serment
Emile,22 mai,Latin,Qui cherche à égaler
Émile,22 mai,Latin,Qui cherche à égaler
Emilie,19 septembre,Latin,Qui cherche à égaler
Émilie,19 septembre,Latin,Qui cherche à égaler
Emilien,12 novembre,Latin,Qui cherche à égaler
Emma,19 avril,Germanique,"Universelle, toute-puissante"
Emmanuel,25 décembre,Hébraïque,Dieu est avec nous
Enora,14 octobre,Breton,Honneur
Enzo,20 mars,Italien / Germanique,"Maître de maison, forme italienne de Heinrich"
Eric,18 mai,Scandinave / Germanique,Roi éternel
Éric,18 mai,Scandinave / Germanique,Roi éternel
Ernest,7 novembre,Germanique,"Sérieux, combattant"
Erwan,19 mai,Breton,If (arbre sacré)
Ethan,19 août,Hébraïque,"Fort, solide"
Etienne,26 décembre,Grec,Couronné
Étienne,26 décembre,Latin,
Eugene,13 juillet,Grec,"Bien né, noble"
Eugène,13 juillet,Grec,"Bien né, noble"
Eva,6 septembre,Hébraïque,Celle qui donne la vie
Fabien,20 janvier,Latin,Cultivateur de fèves
Fanny,26 décembre,Latin,"Libre, française"
Faustine,15 février,Latin,
Felix,12 février,Latin,"Heureux, chanceux"
Félix,12 février,Latin,"Heureux, chanceux"
Fernand,27 juin,Germanique,Courageux dans la paix
Flore,24 novembre,Latin,Fleur
Florence,1 décembre,Latin,Florissante
Florian,4 mai,Latin,"Florissant, en fleur"
Francine,9 mars,Latin,"Femme libre, française"
Francis,4 octobre,Latin,"Homme libre, français"
Franck,4 octobre,Germanique,Homme libre
Francois,4 octobre,Latin,"Homme libre, français"
François,4 octobre,Latin,"Homme libre, français"
Francoise,9 mars,Latin,"Femme libre, française"
Françoise,9 mars,Latin,"Femme libre, française"
Frederic,18 juillet,Germanique,Puissant protecteur de la paix
Frédéric,18 juillet,Germanique,Puissant protecteur de la paix
Gabin,19 octobre,Latin,De Gabies
Gabriel,29 septembre,Hébraïque,Force de Dieu
Gabrielle,29 septembre,Hébraïque,Force de Dieu
Gaëlle,17 décembre,Breton,"Généreuse, dame noble"
Garance,17 octobre,Latin,Plante tinctoriale rouge
Gaspard,28 décembre,Perse,Trésorier
Gaston,6 février,Germanique,"Hôte, étranger"
Genevieve,3 janvier,Celte,Femme de race noble
Geneviève,3 janvier,Celte,Femme de race noble
Georges,23 avril,Grec,Celui qui travaille la terre
Georgette,15 février,Grec,Celle qui travaille la terre
Gerard,3 octobre,Germanique,
Gérard,3 octobre,Germanique,Lance forte
Germaine,15 juin,Latin,"De même sang, sœur"
Gilbert,4 février,Germanique,Otage brillant
Gilles,1 septembre,Grec,"Chevreau, jeune chèvre"
Ginette,3 janvier,Germanique,Noble naissance
Gregory,3 septembre,Grec,"Vigilant, éveillé"
Grégory,3 septembre,Grec,"Vigilant, éveillé"
Guillaume,10 janvier,Germanique,Volonté et protection
Gustave,7 octobre,Scandinave,Soutien des dieux
Guy,12 juin,Germanique,"Forêt, bois"
Gwenaëlle,3 novembre,Breton,Blanche et généreuse
Helene,18 août,Grec,Éclat du soleil
Hélène,18 août,Grec,Éclat du soleil
Heloise,11 février,Germanique,Glorieuse au combat
Henri,13 juillet,Germanique,Maître de maison
Henriette,13 juillet,Germanique,Maîtresse de maison
Herve,17 juin,Breton,Fort et ardent
Hervé,17 juin,Breton,Fort et ardent
Hippolyte,13 août,Grec,Qui libère les chevaux
Hugo,1 avril,Germanique,"Esprit, intelligence"
Hugues,1 avril,Germanique,"Esprit, intelligence"
Huguette,1 avril,Germanique,"Esprit, intelligence"
Ines,10 septembre,Grec / Espagnol,"Chaste, pure, forme espagnole d'Agnès"
Inès,10 septembre,Grec / Espagnol,"Chaste, pure, forme espagnole d'Agnès"
Irene,5 avril,Grec,Paix
Irène,5 avril,Grec,Paix
Iris,4 septembre,Grec,Arc-en-ciel
Isabelle,22 février,Hébraïque,Dieu est serment
Isidore,4 avril,Grec,Don d'Isis
Jacqueline,8 février,Hébraïque,Celle qui supplante
Jacques,25 juillet,Hébraïque,Celui qui supplante
Jade,29 juin,Espagnol,Pierre du flanc
Jean,24 juin,Hébraïque,Dieu fait grâce
Jean-baptiste,24 juin,Hébraïque / Grec,Dieu fait grâce + Celui qui baptise
Jean-charles,4 novembre,Hébraïque / Germanique,
Jean-christophe,25 juillet,Hébraïque / Grec,Dieu fait grâce + Qui porte le Christ
Jean-claude,15 février,Hébraïque / Latin,Dieu fait grâce + Boiteux
Jean-francois,4 octobre,Hébraïque,
Jean-françois,4 octobre,Hébraïque / Latin,Dieu fait grâce + Homme libre
Jean-jacques,25 juillet,Hébraïque,Dieu fait grâce + Celui qui supplante
Jean-louis,25 août,Hébraïque / Germanique,Dieu fait grâce + Illustre au combat
Jean-luc,18 octobre,Hébraïque / Grec,Dieu fait grâce + Lumière
Jean-marc,25 avril,Hébraïque / Latin,Dieu fait grâce + Consacré à Mars
Jean-marie,15 août,Hébraïque,Dieu fait grâce + Goutte de mer
Jean-michel,29 septembre,Hébraïque,Dieu fait grâce + Qui est comme Dieu ?
Jean-paul,29 juin,Hébraïque / Latin,Dieu fait grâce + Petit
Jean-philippe,3 mai,Hébraïque / Grec,Dieu fait grâce + Ami des chevaux
Jean-pierre,29 juin,Hébraïque / Grec,"Dieu fait grâce + Pierre, rocher"
Jean-yves,19 mai,Hébraïque / Celte,Dieu fait grâce + If
Jeanne,30 mai,Hébraïque,Dieu fait grâce
Jeannine,30 mai,Hébraïque,Dieu fait grâce
Jeremy,11 septembre,Hébraïque,Dieu élèvera
Jérémy,11 septembre,Hébraïque,Dieu élèvera
Jerome,30 septembre,Grec,Nom sacré
Jérôme,30 septembre,Grec,Nom sacré
Joëlle,13 juillet,Hébraïque,Yahvé est Dieu
Jonathan,1 mars,Hébraïque / Anglo-Saxon,Don de Dieu
Jordan,13 février,Hébraïque,Celui qui descend
Joseph,19 mars,Hébraïque,Dieu ajoutera
Josephine,19 mars,Hébraïque,Dieu ajoutera
Josette,19 mars,Hébraïque,Dieu ajoutera
Josiane,19 mars,Hébraïque,Dieu ajoutera
Jules,12 avril,Latin,De la famille de Jules
Julia,8 avril,Latin / Italien,De la famille de Jules
Julie,8 avril,Latin,De la famille de Jules
Julien,2 août,Latin,De la famille de Jules
Juliette,30 juillet,Latin,De la famille de Jules
Justine,12 mars,Latin,"Juste, équitable"
Karine,7 novembre,Grec,Pure
Kevin,3 juin,Celte / Anglo-Saxon,Beau de naissance
Laetitia,18 août,Latin,"Joie, allégresse"
Laura,19 octobre,Latin,Couronnée de laurier
Laure,10 août,Latin,Couronnée de laurier
Laurence,10 août,Latin,Couronnée de laurier
Laurent,10 août,Latin,Couronné de laurier
Lea,22 mars,Hébraïque,"Fatiguée, lasse"
Léa,22 mars,Hébraïque,"Fatiguée, lasse"
Lena,19 octobre,Grec,Éclat du soleil
Leo,10 novembre,Latin,Lion
Léo,10 novembre,Latin,Lion
Leon,10 novembre,Latin,Lion
Léon,10 novembre,Latin,Lion
Leonard,6 novembre,Germanique,Lion courageux
Léonard,6 novembre,Latin,
Leonie,10 janvier,Latin,Lionne
Léonie,10 janvier,Latin,Lionne
Leopold,15 novembre,Germanique,Peuple courageux
Léopold,15 novembre,Germanique,Peuple courageux
Liam,3 novembre,Germanique / Celte,"Volonté et protection, forme irlandaise de William"
Liliane,27 juillet,Latin,Lys
Lina,23 septembre,Arabe,"Tendre, délicate"
Lionel,10 novembre,Latin,Petit lion
Loic,25 août,Breton,
Loïc,25 août,Breton / Germanique,"Illustre au combat, forme bretonne de Louis"
Lola,15 septembre,Espagnol,Douleur
Lou,15 mars,Germanique,Illustre au combat
Louis,25 août,Germanique,Illustre au combat
Louise,15 mars,Germanique,Illustre au combat
Lucas,18 octobre,Grec,Lumière
Lucie,13 décembre,Latin,Lumière
Lucien,8 janvier,Latin,Lumière
Lucienne,8 janvier,Latin,Lumière
Ludovic,25 août,Germanique,Illustre au combat
Luna,19 avril,Latin,Lune
Madeleine,22 juillet,Hébraïque,De Magdala (tour)
Mael,13 mai,Celte,"Prince, chef"
Maël,13 mai,Breton,"Prince, chef"
Maeva,14 mars,Breton,Bienvenue
Malo,15 novembre,Breton,"Gage lumineux, prince garant"
Manon,15 août,Hébraïque,Goutte de mer
Marc,25 avril,Latin,Consacré au dieu Mars
Marcel,16 janvier,Latin,Consacré au dieu Mars
Marcelle,31 janvier,Latin,Consacrée au dieu Mars
Margaux,16 novembre,Grec,Perle
Marguerite,16 novembre,Grec,Perle
Marie,15 août,Hébraïque,"Goutte de mer, celle qui élève"
Marie-christine,24 juillet,Hébraïque / Latin,Goutte de mer + Disciple du Christ
Marie-claire,11 août,Hébraïque / Latin,Goutte de mer + Claire
Marie-claude,15 février,Hébraïque / Latin,Goutte de mer + Boiteux
Marie-france,9 mars,Hébraïque / Germanique,Goutte de mer + Femme libre
Marie-francoise,9 mars,Hébraïque / Latin,Goutte de mer + Femme libre
Marie-françoise,9 mars,Hébraïque / Latin,Goutte de mer + Femme libre
Marie-helene,18 août,Hébraïque / Grec,Goutte de mer + Éclat du soleil
Marie-hélène,18 août,Hébraïque / Grec,Goutte de mer + Éclat du soleil
Marie-jose,19 mars,Hébraïque,Goutte de mer + Dieu ajoutera
Marie-josé,19 mars,Hébraïque,Goutte de mer + Dieu ajoutera
Marie-laure,10 août,Hébraïque / Latin,Goutte de mer + Couronnée de laurier
Marie-louise,15 mars,Hébraïque / Germanique,Goutte de mer + Illustre au combat
Marie-pierre,29 juin,Hébraïque / Grec,"Goutte de mer + Pierre, rocher"
Marie-therese,1 octobre,Hébraïque,
Marie-thérèse,1 octobre,Hébraïque / Grec,Goutte de mer + Chasseresse
Marine,20 juillet,Latin,De la mer
Marion,15 août,Hébraïque,Goutte de mer
Marius,19 janvier,Latin,Consacré à Mars
Marthe,29 juillet,Araméen,"Dame, maîtresse"
Martin,11 novembre,Latin,Consacré au dieu Mars
Martine,30 janvier,Latin,Consacrée au dieu Mars
Maryse,15 août,Hébraïque,Goutte de mer
Mathieu,21 septembre,Hébraïque,Don de Dieu
Mathilde,14 mars,Germanique,Force au combat
Mathis,21 septembre,Hébraïque,Don de Dieu
Matteo,21 septembre,Hébraïque / Italien,Don de Dieu
Matthieu,21 septembre,Hébraïque,Don de Dieu
Maurice,22 septembre,Latin,Originaire de Maurétanie
Maxime,14 avril,Latin,Le plus grand
Melanie,26 janvier,Grec,"Noire, sombre"
Mélanie,26 janvier,Grec,"Noire, sombre"
Michel,29 septembre,Hébraïque,Qui est comme Dieu ?
Michele,19 août,Hébraïque / Italien,"Qui est comme Dieu ?, forme italienne de Michel"
Michèle,29 septembre,Hébraïque,Qui est comme Dieu ?
Micheline,29 septembre,Hébraïque,Qui est comme Dieu ?
Mila,16 septembre,Slave,"Grâce, aimée du peuple"
Mireille,15 août,Latin,"Admirable, merveilleuse"
Monique,27 août,Grec,"Unique, seule"
Morgan,22 octobre,Celte / Anglo-Saxon,Né de la mer
Myriam,15 août,Hébraïque,"Goutte de mer, celle qui élève"
Nadine,18 septembre,Slave,Espérance
Nathalie,27 juillet,Latin,Jour de naissance
Nathan,24 août,Hébraïque,"Don, cadeau"
Nicolas,6 décembre,Grec,Victoire du peuple
Nicole,6 mars,Grec,Victoire du peuple
Nina,14 janvier,Hébraïque,Grâce
Noah,10 novembre,Hébraïque / Anglo-Saxon,"Repos, consolation"
Noel,25 décembre,Latin,Jour de naissance
Noël,25 décembre,Latin,Jour de naissance (Noël)
Noemie,21 août,Hébraïque,"Agréable, douce"
Noémie,21 août,Hébraïque,"Agréable, douce"
Nolan,6 décembre,Celte,"Célèbre, noble"
Nolwenn,6 juillet,Breton,Agneau blanc
Oceane,18 septembre,Grec,Océan
Océane,18 septembre,Grec,Océan
Octave,20 novembre,Latin,Huitième
Odette,20 avril,Germanique,"Richesse, prospérité"
Odile,14 décembre,Germanique,"Richesse, prospérité"
Olivia,5 mars,Latin,"Olivier, symbole de paix"
Olivier,12 juillet,Latin,"Olivier, symbole de paix"
Pascal,17 mai,Latin,Relatif à Pâques
Pascale,17 mai,Latin,Relative à Pâques
Patricia,13 mars,Latin,"Noble, patricienne"
Patrick,17 mars,Latin,"Noble, patricien"
Paul,29 juin,Latin,Petit
Paulette,26 mars,Latin,Petite
Pauline,26 mars,Latin,Petite
Penelope,5 mai,Grec,Tisseuse
Pénélope,5 mai,Grec,Tisseuse
Philippe,3 mai,Grec,Ami des chevaux
Pierre,29 juin,Grec,"Pierre, rocher"
Pierrette,31 mai,Grec,Petite pierre
Prosper,25 juin,Latin,"Prospère, heureux"
Quentin,31 octobre,Latin,Cinquième
Raoul,7 juillet,Germanique,Loup avisé
Raphael,29 septembre,Hébraïque,Dieu guérit
Raymond,7 janvier,Germanique,Conseil protecteur
Raymonde,7 janvier,Germanique,Conseil protecteur
Rebecca,23 mars,Hébraïque,Celle qui lie
Remi,15 janvier,Latin,Rameur
Rémi,15 janvier,Latin,Rameur
Rene,19 octobre,Latin,"Né de nouveau, renaissance"
René,19 octobre,Latin,"Né de nouveau, renaissance"
Renee,19 octobre,Latin,Née de nouveau
Renée,19 octobre,Latin,Née de nouveau
Richard,3 avril,Germanique,Chef courageux
Robert,30 avril,Germanique,Gloire brillante
Robin,30 avril,Germanique,Gloire brillante
Roger,30 décembre,Germanique,Lance glorieuse
Roland,15 septembre,Germanique,Gloire du pays
Romain,28 février,Latin,Romain
Romane,28 février,Latin,Romaine
Romy,23 octobre,Latin,Romaine
Ronan,1 juin,Breton,Petit phoque
Rose,23 août,Latin,"Rose, fleur"
Roxane,7 septembre,Perse,Brillante comme l'aurore
Sabrina,29 janvier,Celte,Rivière Severn (Grande-Bretagne)
Sacha,5 juillet,Slave / Grec,"Protecteur de l'homme, diminutif russe d'Alexandre"
Salome,22 octobre,Hébraïque,Paix
Salomé,22 octobre,Hébraïque,Paix
Samuel,20 août,Hébraïque,Son nom est Dieu
Sandrine,2 avril,Grec,Protectrice de l'homme
Sarah,9 octobre,Hébraïque / Arabe,Princesse
Sebastien,20 janvier,Grec,"Vénérable, respecté"
Sébastien,20 janvier,Grec,"Vénérable, respecté"
Serge,7 octobre,Latin,"Serviteur, gardien"
Simon,28 octobre,Hébraïque,Qui est exaucé
Simone,28 octobre,Hébraïque,Qui est exaucée
Simonne,28 octobre,Hébraïque,Qui est exaucée
Solange,10 mai,Latin,"Solennelle, digne"
Sonia,25 mai,Slave / Grec,"Sagesse, forme russe de Sophie"
Sophie,25 mai,Grec,Sagesse
Stephane,26 décembre,Grec,Couronné
Stéphane,26 décembre,Grec,Couronné
Stephanie,26 décembre,Grec,
Stéphanie,26 décembre,Grec,Couronnée
Suzanne,11 août,Hébraïque,Lys
Sylvie,5 novembre,Latin,Forêt
Tanguy,19 novembre,Breton,"Chien de feu, guerrier"
Theo,1 octobre,Grec,Dieu
Théo,1 octobre,Grec,Dieu
Therese,1 octobre,Grec,Chasseresse
Thérèse,1 octobre,Grec,Chasseresse
Thierry,1 juillet,Germanique,Roi du peuple
Thomas,3 juillet,Araméen / Grec,Jumeau
Timothe,26 janvier,Grec,Qui honore Dieu
Timothee,26 janvier,Grec,Qui honore Dieu
Timothée,26 janvier,Grec,Qui honore Dieu
Tom,3 juillet,Araméen / Anglo-Saxon,"Jumeau, forme anglaise de Thomas"
Tristan,12 novembre,Celte,"Tumulte, bruit"
Ulysse,2 avril,Grec,Celui qui est irrité
Valentin,14 février,Latin,"Fort, vigoureux"
Valentine,14 février,Latin,"Forte, vigoureuse"
Valerie,28 avril,Latin,
Valérie,28 avril,Latin,"Forte, vigoureuse"
Vanessa,4 février,Grec,Papillon
Veronique,4 février,Grec,Qui porte la victoire
Véronique,4 février,Grec,Qui porte la victoire
Victoire,15 novembre,Latin,Victoire
Victor,21 juillet,Latin,Vainqueur
Victoria,15 novembre,Latin,Victoire
Vincent,22 janvier,Latin,Celui qui vainc
Virginie,7 janvier,Latin,Vierge
William,10 janvier,Germanique,Volonté et protection
Xavier,3 décembre,Basque,Maison neuve
Yann,24 juin,Breton / Hébraïque,"Dieu fait grâce, forme bretonne de Jean"
Yannick,24 juin,Breton / Hébraïque,"Dieu fait grâce, forme bretonne de Jean"
Yasmine,5 octobre,Arabe,Fleur de jasmin
Yves,19 mai,Celte,If (arbre)
Yvette,13 janvier,Germanique,If (arbre)
Yvonne,19 mai,Germanique,If (arbre)
Zoe,2 mai,Grec,Vie
Zoé,2 mai,Grec,Vie
